Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3032/2020;"""Dispõe sobre política de proteção às mulheres em situação de vulnerabilidade; pela Rede Pública de Saúde com a utilização do Contraceptivo Reversível de Longa Duração de Etonogestrel, e dá outras providências"".";;Alexandre Frota;SP;PSDB;01/06/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2254199
PL 3050/2011;Altera o §2º do art. 10 da Lei 9.263, de 12 de janeiro de 1996, que trata do planejamento familiar, de forma a permitir a realização da laqueadura tubárea nos períodos de parto ou aborto em caso de cesária anterior.;;Aguinaldo Ribeiro;PB;PP;21/12/2011;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=533044
PL 166/2011;Dispõe sobre a criação de Casas Apoio destinadas ao atendimento de adolescentes grávidas.;;"Weliton Prado;Ricardo Izar";"MG;SP";"PT;PP";07/02/2011;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=491186
PL 4640/2016;Altera a Lei 8.069 de 13 de Julho de 1990, para assegurar à mulher o direito à escolha da família substituta na hipótese de entrega consciente para adoção e cria Campanha Nacional de conscientização sobre a entrega voluntária de bebes para adoção.;;Flavinho;SP;PSB;08/03/2016;"Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2078892
PL 4811/2016;"Dispõe sobre adoção. Altera as Leis n.ºs 8.069, de 13 de julho de 1990 e 12.010 de 3 de agosto de 2009 a fim de possibilitar a habilitação sumária de famílias substitutas em localidades desprovidas de abrigos de institucionalização ou de programas de acolhimento familiar, sem prejuízo dos Cadastros Estaduais e Nacional de adoção; e dá outras providências.";;Rafael Motta;RN;PSB;23/03/2016;"Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2080287
REQ 1469/2020;Requer o comparecimento do Sr. Eduardo Pazuello, Ministro interino da Saúde, para prestar esclarecimentos acerca dos motivos da exoneração do corpo técnico da Coordenação de Saúde das Mulheres, da Coordenação-Geral de Ciclos da Vida e da revogação da nota técnica 16/2020 .COSMU/CGCIVI/DAPES/SAPS/MS, que visava garantir o acesso à saúde sexual e saúde reprodutiva em tempos da pandemia da COVID-19.;;"Fernanda Melchionna ;Edmilson Rodrigues ;Sâmia Bomfim ;David Miranda ;Áurea Carolina ;Ivan Valente ;Marcelo Freixo ;Luiza Erundina ;Glauber Braga";"RS;PA;SP;RJ;MG;SP;RJ;SP;RJ";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";08/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2254773
PL 882/2015;Estabelece as políticas públicas no âmbito da saúde sexual e dos direitos reprodutivos e dá outras providências.;Altera o Decreto-lei nº 2.848, de 1940.;Jean Wyllys;RJ;PSOL;24/03/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1050889
PRL 2 CSSF => PL 6022/2013;Parecer do Relator, Dep. Jorge Solla (PT-BA), pela aprovação deste, pela rejeição das Emendas 1/2013, 2/2013 e 3/2013, apresentadas na CSSF, e pela rejeição do PL 6033/2013, do PL 6061/2013, e do PL 6055/2013, apensados.;;Jorge Solla;BA;PT;05/09/2017;;/proposicoesWeb/fichadetramitacao?idProposicao=2150574
PL 126/2019;Prevê o pagamento, pelo Poder Público, de danos morais e pensão indenizatória aos dependentes das vítimas fatais de crimes de violência sexual e violência doméstica, nos casos em que for comprovado erro material do Estado.;;Renata Abreu;SP;PODE;04/02/2019;"Tramitando em Conjunto;Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2190593
PL 1925/2015;Altera o Título VI da Parte Especial do Decreto-Lei no 2.848, de 7 de dezembro de 1940 - Código Penal, nos termos do inciso XLIII do art. 5o da Constituição Federal.;"Aumenta as penas impostas nos crimes contra a liberdade sexual e contra vulnerável; obriga os sentenciados a cumprir a integralidade da pena em regime fechado e proíbe o recebimento de visitas íntimas.";Vitor Valim;CE;PMDB;16/06/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1307307
PRL 1 CSSF => PL 6001/2009;Parecer da Relatora, Dep. Cida Diogo (PT-RJ), pela aprovação.;;Cida Diogo;RJ;PT;09/04/2010;;/proposicoesWeb/fichadetramitacao?idProposicao=472891
PRL 1 CSSF => PL 6022/2013;Parecer do Relator, Dep. Dr. Rosinha (PT-PR), pela aprovação deste, e pela rejeição da Emenda 1/2013 da CSSF, da Emenda 2/2013 da CSSF, da Emenda 3/2013 da CSSF, do PL 6033/2013, do PL 6061/2013, e do PL 6055/2013, apensados.;;Dr. Rosinha;PR;PT;17/12/2014;;/proposicoesWeb/fichadetramitacao?idProposicao=858798
Fonte:;Sistema ;;;;;;;
Data/Ho;13/09/2020 ;;;;;;;
Total de ;12;;;;;;;
